"id","business_name","phone","business_page","category","website","address","rating"
"13367087","Covenant Building and Development Corporation","(323) 228-4343","https://www.yellowpages.com/los-angeles-ca/mip/covenant-building-and-development-corporation-13367087?lid=13367087","Real Estate Developers","","6754 S Garth AveLos Angeles, CA 90056",""
"546093126","Royal Town Development","(424) 238-7400","https://www.yellowpages.com/los-angeles-ca/mip/royal-town-development-546093126?lid=546093126","Real Estate Developers","https://www.royaltowndevelopment.com/howitworks","10401 Venice BlvdLos Angeles, CA 90034",""
"22928638","Rosner Carnegie Executive Offices","(888) 552-5459","https://www.yellowpages.com/los-angeles-ca/mip/rosner-carnegie-executive-offices-22928638?lid=22928638","Real Estate Developers,Apartments","","2029 Century Park ELos Angeles, CA 90067",""
"470154007","Almond Valley Group","(310) 675-0689","https://www.yellowpages.com/los-angeles-ca/mip/almond-valley-group-470154007?lid=470154007","Real Estate Developers","","5757 W Century BlvdLos Angeles, CA 90045",""
"525905669","T J Development","(626) 233-7283","https://www.yellowpages.com/los-angeles-ca/mip/t-j-development-525905669?lid=525905669","Real Estate Developers","","250 E 1st St Ste 402Los Angeles, CA 90012",""
"1560512","Taira Services Corp","(213) 620-0764","https://www.yellowpages.com/los-angeles-ca/mip/taira-services-corp-1560512?lid=1560512","Real Estate Developers","","200 S San Pedro StLos Angeles, CA 90012",""
"474970430","Landwill","(213) 625-0188","https://www.yellowpages.com/los-angeles-ca/mip/landwill-474970430?lid=474970430","Real Estate Developers","","304 S BroadwayLos Angeles, CA 90013",""
"3006786","Tcd Development","(213) 620-0845","https://www.yellowpages.com/los-angeles-ca/mip/tcd-development-3006786?lid=3006786","Real Estate Developers","","267 S San Pedro StLos Angeles, CA 90012",""
"461785261","Assetas Development","(213) 625-1239","https://www.yellowpages.com/los-angeles-ca/mip/assetas-development-461785261?lid=461785261","Real Estate Developers","","434 S Grand AveLos Angeles, CA 90071",""
"30385005","L&H General Partnership","(213) 625-5811","https://www.yellowpages.com/los-angeles-ca/mip/l-h-general-partnership-30385005?lid=30385005","Real Estate Developers","","333 S Central AveLos Angeles, CA 90013",""
"1642558","RRR & Wesley Development","(213) 430-2060","https://www.yellowpages.com/los-angeles-ca/mip/rrr-wesley-development-1642558?lid=1642558","Real Estate Developers","","420 S Grand AveLos Angeles, CA 90071",""
"460124011","Bridge Housing","(213) 996-8415","https://www.yellowpages.com/los-angeles-ca/mip/bridge-housing-460124011?lid=460124011","Real Estate Developers","","555 W 5th St Ste 3100Los Angeles, CA 90013",""
"8254168","Bridge Infill Development Inc","(213) 996-8415","https://www.yellowpages.com/los-angeles-ca/mip/bridge-infill-development-inc-8254168?lid=8254168","Real Estate Developers","","555 W 5th StLos Angeles, CA 90013",""
"538454985","Cottonwood Management","(626) 788-2305","https://www.yellowpages.com/los-angeles-ca/mip/cottonwood-management-538454985?lid=538454985","Real Estate Developers","http://www.cottonwoodmgmt.com","333 S Hope StLos Angeles, CA 90071",""
"491271431","Hines","(213) 817-6048","https://www.yellowpages.com/los-angeles-ca/mip/hines-491271431?lid=491271431","Real Estate Developers","http://www.hines.com","444 S Flower St Ste 2100Los Angeles, CA 90071",""
