"id","business_name","phone","email","years_in_business","services","neighborhoods","general_info","business_page","category","website","address","rating","keyword","place"
"538462585","M&V Digital Agency","(310) 421-1820","","","","Central Hollywood, Central LA","","https://www.yellowpages.com/los-angeles-ca/mip/m-v-digital-agency-538462585?lid=538462585","Digital Printing & Imaging","https://www.mvagency.co","6600 Sunset Blvd. Suite 217Los Angeles, CA 90028","","digital+agency","Los+Angeles,+CA"
"533932424","KRSP A Digital Agency","(213) 537-2063","","","","","","https://www.yellowpages.com/los-angeles-ca/mip/krsp-a-digital-agency-533932424?lid=533932424","Internet Products & Services, Web Site Design & Services","http://krsp.co","3420 S Sepulveda BlvdLos Angeles, CA 90034","","digital+agency","Los+Angeles,+CA"
"17175759","Digital Agency Group","(323) 651-3943","","","","Mar Vista, West Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/digital-agency-group-17175759?lid=17175759","Internet Service Providers (ISP)","","11965 Venice BlvdLos Angeles, CA 90066","","digital+agency","Los+Angeles,+CA"
"529467701","Beattie Cole Digital Marketing Agency","(213) 935-8532","hello@beattiecole.com","","","East LA, Greater Echo Park Elysian","We are Beattie cole, a digital marketing agency based in LOS Angeles. We partner with businesses in order to optimize success. Some MAY refer to US AS a digital marketers. But we like to think of ourselves AS a digital optimizers. We provide hand crafted digital marketing solutions custom tailored with your goals in mind.","https://www.yellowpages.com/los-angeles-ca/mip/beattie-cole-digital-marketing-agency-529467701?lid=529467701","Advertising Agencies, Graphic Designers, Marketing Consultants, Marketing Programs & Services","http://www.beattiecole.com","1428 Echo Park AveLos Angeles, CA 90026","","digital+agency","Los+Angeles,+CA"
"468877972","Digital Artist's Agency","(310) 788-3918","","8","","Westside, Century City, West Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/digital-artists-agency-468877972?lid=468877972","Talent Agencies","http://d-a-a.com","2131 Century Park Ln Apt 313Los Angeles, CA 90067","","digital+agency","Los+Angeles,+CA"
"4121182","Digital Artists Agency","(310) 279-5055","bcoleman@d-a-a.com","16","","Culver-West, West Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/digital-artists-agency-4121182?lid=4121182","Art Galleries, Dealers & Consultants","http://www.d-a-a.com","13323 W Washington BlvdLos Angeles, CA 90066","","digital+agency","Los+Angeles,+CA"
"504217224","121 - Digital Production Agency","(646) 717-1726","info@one20one.com","8","","","","https://www.yellowpages.com/los-angeles-ca/mip/121-digital-production-agency-504217224?lid=504217224","Web Site Design & Services","http://one20one.com","Los Angeles, CA 90046","","digital+agency","Los+Angeles,+CA"
"489247139","Flash Digital Agency","(323) 451-2677","","10","","Central LA, PICO, Wilshire Highlands","We are passionate about digital marketing.  Here at Flash Digital Agency we are a team of experienced and passionate digital marketers that are dedicated to helping our clients find solutions an increase their digital presence.  With Flash Digital Agency you get the custom tailored attention of a boutique agency coupled with the expertise and advance tools and technologies of one of the big guys.  We are data driven and believe in full transparency in reporting and management of your digital marketing.  We work with a broad range of clients from startups, mobile apps, national brands, regional chains, e Commerce, consultants, and more!","https://www.yellowpages.com/beverly-hills-ca/mip/flash-digital-agency-489247139?lid=489247139","Internet Marketing & Advertising, Web Site Design & Services","","8549 Wilshire Blvd suite 426Beverly Hills, CA 90211","2","digital+agency","Los+Angeles,+CA"
"15327758","Signcomm","(213) 383-2111","signcom2000@yahoo.com","28","","Central LA, Rampart Village","20+ years of experience with a 10,000 square foot facility, we can make what you want at the lowest prices! Signcomm has worked with large corporations like T-Mobile, Chase, Burger King and smaller mom and pop locations.","https://www.yellowpages.com/los-angeles-ca/mip/signcomm-15327758?lid=15327758","Signs-Erectors & Hangers, Advertising Agencies, Signs, Advertising Specialties, Printing Services, Digital Printing & Imaging, Banners, Flags & Pennants","","3214 Beverly BlvdLos Angeles, CA 90057","6","digital+agency","Los+Angeles,+CA"
"11408226","Advetising Image Group","(213) 382-1123","create@imagegroupcorp.com","17","","Wilshire Center - Koreatown, Central LA","Marketing, Design, Consultation, Strategy","https://www.yellowpages.com/los-angeles-ca/mip/advetising-image-group-11408226?lid=11408226","Engraving, Advertising Agencies, Screen Printing, Printing Services, Digital Printing & Imaging","http://www.imagegroupcorp.com","3921 Wilshire BlvdLos Angeles, CA 90010","","digital+agency","Los+Angeles,+CA"
"544948397","Amplitude Digital Inc","(213) 973-2002","hello@amplitudeagency.com","15","Search Engine Optimization (SEO), Google AdWords PPC Management, Bing &amp; Yahoo Ads PPC Management, Web Analytics, Content Marketing","","Amplitude Digital, a leading SEO and PPC search marketing agency in Los Angeles, delivers results using data-centric strategies that reduce wasteful media spend and grow revenue. We are a recipient of the Los Angeles Agency Award of Excellence, recognizing our efforts in Search Engine Optimization, Paid Search, Google Shopping Ads, Remarketing and Content Marketing. Clients depend on our veteran search experts, deep analytic methodology and real-time dashboards to keep ahead of the competition.","https://www.yellowpages.com/los-angeles-ca/mip/amplitude-digital-inc-544948397?lid=544948397","Internet Marketing & Advertising, Advertising Agencies","http://amplitudeagency.com","5792 W Jefferson Blvd #2149Los Angeles, CA 90016","","digital+agency","Los+Angeles,+CA"
"491089638","Amplitude Digital Inc","(213) 973-2002","hello@amplitudeagency.com","15","","","Amplitude Digital, a leading SEO and PPC search marketing agency in Los Angeles, delivers results using data-centric strategies that reduce wasteful media spend and grow revenue. We are a recipient of the Los Angeles Agency Award of Excellence, recognizing our efforts in Search Engine Optimization, Paid Search, Google Shopping Ads, Remarketing and Content Marketing. Clients depend on our veteran search experts, deep analytic methodology and real-time dashboards to keep ahead of the competition.","https://www.yellowpages.com/los-angeles-ca/mip/amplitude-digital-inc-491089638?lid=491089638","Internet Marketing & Advertising, Advertising Agencies","http://amplitudeagency.com","3415 S Sepulveda Blvd Ste 1157, 11th FloorLos Angeles, CA 90034","","digital+agency","Los+Angeles,+CA"
"533432367","Chambers Digital Media","(323) 452-2711","","","","","","https://www.yellowpages.com/los-angeles-ca/mip/chambers-digital-media-533432367?lid=533432367","Advertising Agencies","http://empoweredmediapr.com","1615 Wilcox AveLos Angeles, CA 90078","","digital+agency","Los+Angeles,+CA"
"526531805","Quiver Digital","(323) 424-3539","","4","","","","https://www.yellowpages.com/los-angeles-ca/mip/quiver-digital-526531805?lid=526531805","Entertainment Agencies & Bureaus, Technology-Research & Development","","5900 Wilshire Blvd Ste 1700Los Angeles, CA 90036","","digital+agency","Los+Angeles,+CA"
"461551585","Digital Dogs Casting","(323) 651-0888","","","","Central LA, Mid-City West","","https://www.yellowpages.com/los-angeles-ca/mip/digital-dogs-casting-461551585?lid=461551585","Theatrical Managers & Producers, Entertainment Agencies & Bureaus","","627 N Spaulding Ave Apt 3Los Angeles, CA 90036","","digital+agency","Los+Angeles,+CA"
"456284219","Synaptic Digital","(323) 944-0154","learnmore@synapticdigital.com","","","Central LA, Mid-City West","","https://www.yellowpages.com/los-angeles-ca/mip/synaptic-digital-456284219?lid=456284219","Advertising Agencies, Marketing Consultants, Advertising Specialties","","6404 Wilshire BlvdLos Angeles, CA 90048","","digital+agency","Los+Angeles,+CA"
"502200528","Digital Cinema Distribution","(310) 651-2601","","6","","Century City, West Los Angeles, Westside","","https://www.yellowpages.com/los-angeles-ca/mip/digital-cinema-distribution-502200528?lid=502200528","Advertising Agencies, Advertising Specialties","https://www.dcdcdistribution.com","1840 Century Park ELos Angeles, CA 90067","","digital+agency","Los+Angeles,+CA"
"531340287","Manatt Digital Media","(310) 312-4000","","","","West Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/manatt-digital-media-531340287?lid=531340287","Advertising Agencies","http://manatt.com","11355 W Olympic BlvdLos Angeles, CA 90064","","digital+agency","Los+Angeles,+CA"
"503954246","Luz Digital Designs","(310) 933-6444","","","","","","https://www.yellowpages.com/los-angeles-ca/mip/luz-digital-designs-503954246?lid=503954246","Web Site Design & Services, Advertising Agencies, Graphic Designers","","Los Angeles, CA 90036","","digital+agency","Los+Angeles,+CA"
"23115096","Seda's Printing and Direct Mailing","(323) 469-1034","info@sedasprinting.com","31","","Central LA, Little Armenia, East Hollywood","Established, recognized, and effectively serving the Los Angeles community, as a complete printing service from design to mail, since 1984. 
 
Our state-of-the-art desktop publishing and design enables us to provide you with exceptional typesetting, design, and pre-press services. All under one roof, our printing department is fully equipped within a 10,000 square foot facility. 
 
Our knowledgeable staff have many years of experience. We can meet all of your printing requirements, whether it's single color or full color, or whether it's on plain paper or glossy stock, Seda's offers affordable, quality printing service solutions. 
 
We have experience in printing business cards, flyers, newsletters, brochures, booklets, envelopes, notepads, postcards, invitations, car magnets, forms, calendars, posters, pms, stickers, labels, and much more!","https://www.yellowpages.com/los-angeles-ca/mip/sedas-printing-and-direct-mailing-23115096?lid=23115096","Copying & Duplicating Service, Advertising Agencies, Graphic Designers, Labels, Advertising Specialties, Printing Services, Computer Printers & Supplies, Printing Services-Commercial, Data Processing Service, Mail & Shipping Services, Digital Printing & Imaging","http://www.sedasprinting.com","5335 Santa Monica BlvdLos Angeles, CA 90029","2","digital+agency","Los+Angeles,+CA"
"468916420","Digital Display Networks","(310) 827-3771","","","","Marina Del Rey, West Los Angeles, Marina del Rey","","https://www.yellowpages.com/los-angeles-ca/mip/digital-display-networks-468916420?lid=468916420","Display Designers & Producers, Marketing Consultants, Advertising Agencies","","12910 Culver Blvd Ste HLos Angeles, CA 90066","","digital+agency","Los+Angeles,+CA"
"460676526","Avozar Advertising","(323) 766-8844","contact@avozar.com","","","Central LA, Pico Union","","https://www.yellowpages.com/los-angeles-ca/mip/avozar-advertising-460676526?lid=460676526","Uniforms-Manufacturers & Wholesale, Digital Printing & Imaging, Business Cards, Print Advertising, Embroidery, Interactive Media, Advertising Agencies, Web Site Hosting, Web Site Design & Services, Embroidery Design Punching, Internet Marketing & Advertising, Screen Printing, Graphic Designers, Photographic Color Prints & Transparencies","http://www.avozar.com","1317 W 11th StLos Angeles, CA 90015","","digital+agency","Los+Angeles,+CA"
"480759574","Digital 500 Media Entertainment - CLOSED","","","","","Greater Cypress Park, East LA","","https://www.yellowpages.com/los-angeles-ca/mip/digital-500-media-entertainment-480759574?lid=480759574","Entertainment Agencies & Bureaus","","2808 Elm StLos Angeles, CA 90065","","digital+agency","Los+Angeles,+CA"
"473363189","Look And Sound Digital Agency","(213) 245-1057","","15","","Sherman Oaks, South Valley","Look And Sound Design is a full-service design and internet marketing  company based in Los Angeles, CA. We have been providing quality web  designs, brand marketing and much more for the business and artist  community since 2004.","https://www.yellowpages.com/sherman-oaks-ca/mip/look-and-sound-digital-agency-473363189?lid=473363189","Internet Marketing & Advertising, Marketing Consultants, Web Site Design & Services, Computer Software Publishers & Developers","http://lookandsound.com","13437 Ventura BlvdSherman Oaks, CA 91423","","digital+agency","Los+Angeles,+CA"
"546066256","Joystik Digital Agency","(310) 751-4158","","","","Marina del Rey, West Los Angeles","","https://www.yellowpages.com/marina-del-rey-ca/mip/joystik-digital-agency-546066256?lid=546066256","Advertising Agencies","https://joystickinteractive.com","4551 Glencoe AveMarina Del Rey, CA 90292","","digital+agency","Los+Angeles,+CA"
"520260853","8 Digital Marketing Agency","(310) 461-6515","","4","","Paramount","","https://www.yellowpages.com/paramount-ca/mip/8-digital-marketing-agency-520260853?lid=520260853","Internet Marketing & Advertising, Web Site Hosting, Graphic Designers, Marketing Consultants, Web Site Design & Services","http://www.8-digitalmarketing.com","15000 Downey aveParamount, CA 90723","","digital+agency","Los+Angeles,+CA"
"531523510","LAS Digital Agency","(213) 245-1057","","15","","Sherman Oaks, South Valley","","https://www.yellowpages.com/sherman-oaks-ca/mip/las-digital-agency-531523510?lid=531523510","Advertising Agencies, Marketing Consultants","http://lookandsound.com","13437 Ventura Blvd Ste 209Sherman Oaks, CA 91423","","digital+agency","Los+Angeles,+CA"
"523567862","Roi Digital Agency","(562) 328-8062","","","","","","https://www.yellowpages.com/whittier-ca/mip/roi-digital-agency-523567862?lid=523567862","Computer Online Services, Computer Software & Services, Computer Technical Assistance & Support Services, Computer Software Publishers & Developers","","9362 Coachman AveWhittier, CA 90605","","digital+agency","Los+Angeles,+CA"
