"id","business_name","phone","email","years_in_business","services","neighborhoods","general_info","business_page","category","website","address","rating","keyword","place"
"1000923513787","Martins Construction","(818) 518-6002","martinsconstruction@hotmail.com","23","","Central LA, Mid-City West, Olympic Park","","https://www.yellowpages.com/los-angeles-ca/mip/martins-construction-139207?lid=1000923513787","Carpenters, Altering & Remodeling Contractors, General Contractors, Home Builders, Garages-Building & Repairing, Bathroom Remodeling, Home Improvements, Sunrooms & Solariums, Kitchen Planning & Remodeling Service, Deck Builders, Building Construction Consultants, Building Contractors, Residential Designers, Real Estate Developers, Architects & Builders Services, Home Design & Planning, Construction Consultants, Home Repair & Maintenance","http://www.martinsconstruction.net","5365 San Vicente BlvdLos Angeles, CA 90019","24","development","Los+Angeles,+CA"
"1001827610982","Plans and Permits Express","(562) 991-9537","","","","Central LA, Downtown Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/plans-and-permits-express-542519057?lid=1001827610982","Building Contractors, General Contractors, Real Estate Developers, Building Construction Consultants, Architects, Architects & Builders Services, Construction Consultants","","1055 W 7th St Ste 3300Los Angeles, CA 90017","","development","Los+Angeles,+CA"
"465951345","Ratkovich Co. Inc.","(213) 486-6500","contactus@ratkovich.com","","","Central LA, Financial District, Downtown Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/ratkovich-co-inc-465951345?lid=465951345","Real Estate Developers, Home Builders, Real Estate Consultants, General Contractors","","800 Wilshire Blvd Ste 1425Los Angeles, CA 90017","","development","Los+Angeles,+CA"
"463500545","PE Lofts","(213) 225-2225","","11","","Downtown Los Angeles, Central LA, Financial District","","https://www.yellowpages.com/los-angeles-ca/mip/pe-lofts-463500545?lid=463500545","Real Estate Developers","","700 S Flower St Ste 2400Los Angeles, CA 90017","","development","Los+Angeles,+CA"
"1410008","Aurora Developement","(213) 995-9925","aurora@aurora-development.com","8","","Downtown Los Angeles, South Park, Central LA","","https://www.yellowpages.com/los-angeles-ca/mip/aurora-developement-1410008?lid=1410008","Real Estate Developers","http://www.aurora-development.com","801 S Grand AveLos Angeles, CA 90017","","development","Los+Angeles,+CA"
"7797012","McCormack Baron Salazar","(213) 236-2660","","","","South Park, Downtown Los Angeles, Central LA","","https://www.yellowpages.com/los-angeles-ca/mip/mccormack-baron-salazar-7797012?lid=7797012","Real Estate Developers","http://www.mccormackbaron.com","801 S Grand Ave Ste 780Los Angeles, CA 90017","","development","Los+Angeles,+CA"
"463419158","Lowe Enterprises Inc","(213) 488-1971","","","","Downtown Los Angeles, Central LA","","https://www.yellowpages.com/los-angeles-ca/mip/lowe-enterprises-inc-463419158?lid=463419158","Real Estate Developers","http://loweenterprises.com","1651 Bay StLos Angeles, CA 90021","","development","Los+Angeles,+CA"
"468181009","Hanil Development Inc","(213) 387-0111","ales@aromaresort.com","21","","Wilshire Center - Koreatown, Central LA","","https://www.yellowpages.com/los-angeles-ca/mip/hanil-development-inc-468181009?lid=468181009","Real Estate Developers","http://www.aromaresort.com","3680 Wilshire Blvd Ste B01Los Angeles, CA 90010","","development","Los+Angeles,+CA"
"474872957","Jen Stein","(323) 762-2512","jenstein@kw.org","","","Central LA, Greater Wilshire, Windsor Square","","https://www.yellowpages.com/los-angeles-ca/mip/jen-stein-474872957?lid=474872957","Real Estate Developers, Real Estate Investing, Real Estate Buyer Brokers, Real Estate Agents, Real Estate Consultants","http://www.jenstein.org","118 N Larchmont BlvdLos Angeles, CA 90004","","development","Los+Angeles,+CA"
"8711654","Urban Smart Growth","(323) 461-6611","zacharyr@urbansmartgrowth.net","12","","Central LA, Hollywood Hills West","","https://www.yellowpages.com/los-angeles-ca/mip/urban-smart-growth-8711654?lid=8711654","Real Estate Developers","http://urbansmartgrowth.net","1746 N Cherokee Ave Ste 1zLos Angeles, CA 90028","","development","Los+Angeles,+CA"
"471057073","Lantana Development Co Inc","(310) 474-3666","info@lantanadevelopment.com","20","","West Los Angeles, Mar Vista, Westside Village, Westside","","https://www.yellowpages.com/los-angeles-ca/mip/lantana-development-co-inc-471057073?lid=471057073","Real Estate Developers, Home Builders","http://lantanadevelopment.com","10801 National Blvd Ste 300Los Angeles, CA 90064","","development","Los+Angeles,+CA"
"30936395","ATLAS CONSTRUCTION GROUP,INC.","(310) 957-2088","","","","West Los Angeles, Westside","","https://www.yellowpages.com/los-angeles-ca/mip/atlas-construction-group-inc-30936395?lid=30936395","Real Estate Developers, Real Estate Investing, Real Estate Buyer Brokers, Real Estate Loans, Commercial Real Estate","","2735 Westwood BlvdLos Angeles, CA 90064","","development","Los+Angeles,+CA"
"471920962","GFO Companies","(323) 356-2551","","","","Central LA, Financial District, Downtown Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/gfo-companies-471920962?lid=471920962","Real Estate Developers","http://www.gfocompanies.com","510 W 6th St Ste 922Los Angeles, CA 90014","","development","Los+Angeles,+CA"
"455262651","Invision Investment Group","(213) 291-8838","info@invisionigroup.com","9","","Downtown, Central LA, Wholesale District / Skid Row","","https://www.yellowpages.com/los-angeles-ca/mip/invision-investment-group-455262651?lid=455262651","Real Estate Developers, Real Estate Investing, Commercial Real Estate, Real Estate Consultants, Real Estate Management","","556 Towne AveLos Angeles, CA 90013","","development","Los+Angeles,+CA"
