"id","business_name","phone","email","years_in_business","services","neighborhoods","general_info","business_page","category","website","address","rating","keyword","place"
"1000462803433","U.S. Cellular","(800) 331-8923","","35","","","U.S. Cellular is the fifth-largest full-service wireless carrier in the United States, providing national network coverage and industry-leading innovations designed to elevate the customer experience. The Chicago-based carrier has a strong line-up of cutting-edge devices that are all backed by a high-quality network in big and small cities and rural communities. Currently, 94 percent of customers have access to 4G LTE speeds. U.S. Cellular was named a J.D. Power and Associates Customer Champion in 2014 for the third time in four years.","https://www.yellowpages.com/nationwide/mip/u-s-cellular-11421706?lid=1000462803433","Cellular Telephone Service, Wireless Communication, Cellular Telephone Equipment & Supplies, Telephone Equipment & Systems, Telephone Companies, Consumer Electronics","https://www.uscellular.com","","42","telecom","Florida+City,+FL"
"1001808023993","InScope Communications, LLC","(888) 223-8968","","","","","InScope Communications is a preferred dealer of the world's most reputable telecommunications equipment. We are a Nationwide Supplier of telephone systems, wi-fi equipment, networking supplies, and wireless headsets. We will supply your office and multiple locations with the latest and greatest telecom products available. We carry all the top brands and offer expedited shipping. Our nationwide network of contractors are on standby to assist with any and all of your telecom needs. Ask us how we can save you money through our Hosted VoIP Solutions with AVAYA! Give us a call today. We make it easy to do business with InScope!","https://www.yellowpages.com/nationwide/mip/inscope-communications-llc-533624097?lid=1001808023993","Telephone Equipment & Systems-Repair & Service, Telephone & Television Cable Contractors, Computers & Computer Equipment-Service & Repair, Computer Cable & Wire Installation, Telephone Communications Services, Telecommunications-Equipment & Supply, Telecommunications Services, Access Control Systems, Telecommunications Consultants, Data Communications Equipment & Systems, Telephone Equipment & Systems, Network Communications, Point Of Sale Equipment & Supplies, Surveillance Equipment","http://www.inscopecom.com","Serving the Florida City Area","","telecom","Florida+City,+FL"
"1001570964907","Spectrum Authorized Reseller - DGS","(888) 246-5144","","","","","Spectrum Cable Digital TV with HD gives even more great entertainment, plus you can experience it all in crystal-clear digital-quality picture and sound. Spectrum Cable Broadband Internet lets you surf and download huge files at blazing-fast speed. Plus, get a dependable connection, that is always on. Plus with Spectrum Cable Broadband Internet, you get access to exclusive online content! Spectrum Cable Digital Home Phone, you can always get through to the people who matter most, and you'll always hear them in crystal-clear sound. Plus, with unlimited nationwide calling in the United States, Canada and Puerto Rico, everyone is much closer. Plus, get the newest super features like Caller ID on Digital TV and Caller ID on PC.","https://www.yellowpages.com/nationwide/mip/spectrum-authorized-reseller-dgs-483915620?lid=1001570964907","Cable & Satellite Television, Telephone Companies, Television Systems-Closed Circuit Telecasting, Telecommunications Services, Telephone Equipment & Systems, Satellite & Cable TV Equipment & Systems, Internet Service Providers (ISP), Telephone Communications Services, Wireless Internet Providers, Security Control Systems & Monitoring, Access Control Systems, Security Equipment & Systems Consultants, Utility Companies","","Serving the Florida City Area","","telecom","Florida+City,+FL"
"1001437855696","U-verse - AT&T - Authorized Retailer","(888) 265-8656","","","","","U-Verse TV 
Switch to a TV Package for everyone in the house! Enjoy a high quality picture along with Total Home DVR, Multi-view channel browsing, On Demand choice programming and access to over 175 HD channels and growing!  

  U-Verse Internet 
High Speed Internet up to 18 Mbps at home or on-the-go access to AT&T's entire national Wi-Fi Hotspot at no extra charge. Plus added benefit like access to Uverse.com with over 250,000 videos of your favorite TV shows, movies, music, and sports for free. Call and switch to U-verse High Speed Internet Now!  

  U-Verse Voice 
Unlimited Nation-wide calling with 20 calling features like Caller ID displayed on U-verse TV, Visual Voice mail, plus web-based call management and much more. Switched to the next generation digital home phone service and save even more!  

  U-Verse Bundle 
Get Better TV, faster internet, and a smarter phone with AT&T U-Verse bundle. Bring it all together in a customize bundle package according to your needs!","https://www.yellowpages.com/nationwide/mip/u-verse-at-t-authorized-retailer-496425115?lid=1001437855696","Security Control Systems & Monitoring, Access Control Systems, Security Equipment & Systems Consultants, Internet Products & Services, Cable & Satellite Television, Telephone Companies, Television Systems-Closed Circuit Telecasting, Telecommunications Services, Telephone Equipment & Systems, Satellite & Cable TV Equipment & Systems, Telephone Communications Services, Internet Service Providers (ISP), Wireless Internet Providers","http://www.getattonline.com/?tfn=844-523-1903","Serving the Florida City Area","","telecom","Florida+City,+FL"
"1000476974396","CenturyLink","(888) 805-1875","","12","","","CenturyLink offers a complete suite of broadband communication and entertainment services for business and residential customers. Residential services include reliable local and long distance home phone service, high-speed Internet including Wi-Fi, and satellite TV from DirecTV - all on one monthly bill.     For businesses, CenturyLink has a comprehensive range of flexible and integrated telecom and data communication services designed to help home offices, small businesses, medium sized businesses and enterprise business clients be more productive and communicate with their customers. Telecom solutions include local phone service and equipment, data services, long distance phone plans, Business-Class High-Speed Internet (DSL), mobile phone plans, satellite TV from DIRECTV, high capacity data network services, voice and data communication equipment and Managed Network Services (MNS).     CenturyLink, the result of the merger of CenturyTel and EMBARQ, brings together two outstanding companies to create an industry-leading communications and entertainment organization.     We operate in 33 states, with more than seven million access lines and more than two million broadband customers.     CenturyLink believes that by focusing on the communities the company serves and by employing common sense and practical ingenuity, it is able to provide customers with a committed partner, dedicated customer service and innovative products for work and home.","https://www.yellowpages.com/nationwide/mip/centurylink-496130169?lid=1000476974396","Cable & Satellite Television, Wireless Internet Providers, Satellite & Cable TV Equipment & Systems, Internet Service Providers (ISP), Telephone Companies, Wireless Communication, Telecommunications-Equipment & Supply","https://www.centurylink.com/home/phone/?nid=D_IYP_YP_PL_RES_PHN&utm_source=YP&utm_medium=IYP&utm_campaign=PL&utm_term=RES_PHN","","","telecom","Florida+City,+FL"
"1001809828311","DirecTV AT&T Bundle Deals - Authorized Reseller DGS","(888) 272-9234","","","","","Get Unlimited Phone, Fast Internet & HD Channels w/ DirecTV & U-Verse Package Plans. High Reliability with Customer Support!","https://www.yellowpages.com/nationwide/mip/directv-at-t-bundle-deals-authorized-reseller-dgs-541788529?lid=1001809828311","Wireless Internet Providers, Satellite Equipment & Systems, Telephone Companies, Internet Service Providers (ISP), Cable & Satellite Television","http://www.getattonline.com/?tfn=844-523-1903","Serving the Florida City Area","","telecom","Florida+City,+FL"
"1000120148190","A Personal Answering Service","(888) 863-7553","hello@thanksforcalling.com","33","","","A Personal Answering Service offers a comprehensive suite of services customizable to your business needs, including: 
 
 
Live Secretary Messaging, featuring:  
 
 
* Custom Messaging Services 
* Customized Protocols as Complex As Needed 
* Fields Used To Determine If Call Should Be Dispatched Immediately 
* Instant Conference Calling 
* Personalized Answer Phrase Multiple Lines Forwarded To Same Number 
 
 
You can also use the secretary during normal business hours as overflow receptionist to prevent ""busy-signal"" hang-ups and lost business. 
 
 
Voice Mail With or Without Operator Assistance: 
 
 
* Your Own Personal Greeting with Password Access 
* Group or Individual Mailboxes Available With Greetings and Announcement Services As Well 
 
 
Multiple Message Delivery Options:  
 
 
Messages will be faxed to number you request and messages can be e-mailed to your pc or cell phone.","https://www.yellowpages.com/nationwide/mip/a-personal-answering-service-9889854?lid=1000120148190","Secretarial Services, Call Centers, Telephone Communications Services, Telephone Companies, Telephone Answering Service","http://thanksforcalling.com","Serving the Florida City Area","","telecom","Florida+City,+FL"
"1001727847531","Cox Communications - Authorized Retailer","(888) 273-6213","","","","","Cox TV gives the user unique experience of enjoying popular cable channels for every member of your family whether its sports, news, movies or your favorite TV shows. Cox has above 230 channels to choose from with more than 100HD channels. While other providers like satellite may charge you extra for your local stations, they're included in every one of our packages. Best of all Cox TV is available for free for all your additional TVs - with no need for additional equipment. Cox delivers you the best internet experience with fast download speeds including PowerBoost® which gives you a temporary boost of speed when transferring large files. More of what you expect from a phone company and all for less money our package includes unlimited local callings for user with important features like call waiting, caller ID and voicemail. And, you'll get Phone Tools to access it all online including your voice messages. Get Fastest Internet, Phone & Cable For $89.99/M. For Details Call Now!","https://www.yellowpages.com/nationwide/mip/cox-communications-authorized-retailer-533519432?lid=1001727847531","Wireless Internet Providers, Telephone & Television Cable Contractors, Telephone Companies, Internet Service Providers (ISP), Cable & Satellite Television","http://coxbundledeals.com/?tfn=855-385-5858","Serving the Florida City Area","","telecom","Florida+City,+FL"
"1001961194080","Get AT&T Online","(800) 810-0233","","","Unlimited talk, text & data with fast 4G LTE speedsLaunch your own 15GB personal hotspot (After 15GB, hotspot speed limited to max of 128kbps)Get 30+ channels of live TV & on demand with the WatchTV app**","","Not only do you get to enjoy 30+ channels of live TV and 15,000 movies & hit shows on demand with the WatchTV app, you also be able to watch on your favorite devices like Apple TV, Android and Roku. Stream all you want with no overage charges.","https://www.yellowpages.com/nationwide/mip/get-at-t-online-547406931?lid=1001961194080","Cellular Telephone Service, Telephone Companies, Wireless Communication, Cellular Telephone Equipment & Supplies","https://www.getattonline.com/Wireless","Serving the Florida City Area","","telecom","Florida+City,+FL"
"1000445590334","Local Cable Deals - DGS","(888) 287-8406","","","","","","https://www.yellowpages.com/nationwide/mip/local-cable-deals-dgs-496250933?lid=1000445590334","Telecommunications Services, Telephone Companies, Wireless Internet Providers, Internet Service Providers (ISP), Cable & Satellite Television","http://www.localcabledeals.com/?tfn=1-855-893-2095","Serving the Florida City Area","","telecom","Florida+City,+FL"
