"id","business_name","phone","email","years_in_business","services","neighborhoods","general_info","business_page","category","website","address","rating","keyword","place"
"453372093","The Ruby Group","(845) 651-3800","","12","","","","https://www.yellowpages.com/goshen-ny/mip/the-ruby-group-453372093?lid=453372093","General Contractors, Real Estate Developers, Plumbers","","330 Route 17aGoshen, NY 10924","","development","Florida,+NY"
"16050114","Knebel Robert General Contractor","(845) 986-9669","robertknebel1@gmail.com","28","","","","https://www.yellowpages.com/florida-ny/mip/knebel-robert-general-contractor-16050114?lid=16050114","Home Builders, Real Estate Developers, Real Estate Inspection Service, Altering & Remodeling Contractors, Masonry Contractors, Masonry Contractors-Commercial & Industrial, General Contractors, Building Contractors","http://robertknebel.com","2 N Main St Suite 3Florida, NY 10921","","development","Florida,+NY"
"466644051","Beazer Homes","(845) 651-0082","","","","","","https://www.yellowpages.com/florida-ny/mip/beazer-homes-466644051?lid=466644051","Home Builders, Real Estate Developers","http://www.beazer.com","4429 State Route 94Florida, NY 10921","","development","Florida,+NY"
"475278041","Mountainside Custom Homes","(845) 651-0976","","","","","","https://www.yellowpages.com/florida-ny/mip/mountainside-custom-homes-475278041?lid=475278041","Home Builders, Real Estate Developers","","648 Union Corners RdFlorida, NY 10921","","development","Florida,+NY"
"459255745","Digital Develop","(845) 469-8321","sales@tele-pak.com","","","","","https://www.yellowpages.com/chester-ny/mip/digital-develop-459255745?lid=459255745","Real Estate Developers","","498 Bellvale RdChester, NY 10918","","development","Florida,+NY"
"453184105","Construction","(845) 469-9391","","","","","","https://www.yellowpages.com/chester-ny/mip/construction-453184105?lid=453184105","Real Estate Developers","","148 Main StChester, NY 10918","","development","Florida,+NY"
"466634300","Ruby Construction Services","(845) 651-3800","","","","","","https://www.yellowpages.com/goshen-ny/mip/ruby-construction-services-466634300?lid=466634300","General Contractors, Home Builders, Real Estate Developers, Construction Management","","1955 State Route 17AGoshen, NY 10924","","development","Florida,+NY"
"453204394","Radtke Homes","(845) 294-2815","","21","","","","https://www.yellowpages.com/goshen-ny/mip/radtke-homes-453204394?lid=453204394","Home Builders, Real Estate Developers, Roofing Contractors, Altering & Remodeling Contractors, Kitchen Planning & Remodeling Service, Bathroom Remodeling, Siding Contractors, Excavation Contractors, Foundation Contractors, Masonry Contractors, Masonry Contractors-Commercial & Industrial","http://www.radtkehomes.com","1266 Pulaski HwyGoshen, NY 10924","","development","Florida,+NY"
"20480920","Sawyer's Peak Associates","(845) 294-7511","","23","","","","https://www.yellowpages.com/goshen-ny/mip/sawyers-peak-associates-20480920?lid=20480920","Home Builders, Real Estate Developers","","2 Chestnut LnGoshen, NY 10924","","development","Florida,+NY"
"471935493","Traina Construction Inc","(845) 469-9348","","31","","","","https://www.yellowpages.com/chester-ny/mip/traina-construction-inc-471935493?lid=471935493","General Contractors, Real Estate Developers, Altering & Remodeling Contractors","","2 Wood RdChester, NY 10918","","development","Florida,+NY"
"14452062","Whitefield Deck Company","(845) 986-7618","","","","","","https://www.yellowpages.com/warwick-ny/mip/whitefield-deck-company-14452062?lid=14452062","Home Builders, Real Estate Developers","","12 Whitefield AveWarwick, NY 10990","","development","Florida,+NY"
"468777926","Power Brendan","(845) 692-7629","","","","","","https://www.yellowpages.com/middletown-ny/mip/power-brendan-468777926?lid=468777926","General Contractors, Real Estate Developers, Plumbers","","Middletown, NY 10940","","development","Florida,+NY"
"1063374","Joyce Roland Custom Builders LTD","(845) 726-3636","","","","","","https://www.yellowpages.com/new-hampton-ny/mip/joyce-roland-custom-builders-ltd-1063374?lid=1063374","General Contractors, Real Estate Developers, Building Contractors","","New Hampton, NY 10958","","development","Florida,+NY"
"12257672","Hallmark Homes","(845) 355-3343","","","","","","https://www.yellowpages.com/middletown-ny/mip/hallmark-homes-12257672?lid=12257672","Home Builders, Real Estate Developers","","Middletown, NY 10941","","development","Florida,+NY"
"13456926","Glomar Construction Inc","(845) 567-6664","","","","","","https://www.yellowpages.com/rock-tavern-ny/mip/glomar-construction-inc-13456926?lid=13456926","General Contractors, Real Estate Developers","","Rock Tavern, NY 12575","","development","Florida,+NY"
"1964618","Dunn-Well Homes & Contracting","(845) 469-4264","","","","","","https://www.yellowpages.com/chester-ny/mip/dunn-well-homes-contracting-1964618?lid=1964618","Home Builders, Real Estate Developers, Building Contractors","","Chester, NY 10918","","development","Florida,+NY"
"19971146","Jones Homes","(845) 341-0606","","","","","","https://www.yellowpages.com/middletown-ny/mip/jones-homes-19971146?lid=19971146","General Contractors, Real Estate Developers","","Middletown, NY 10941","","development","Florida,+NY"
"20724518","Sheric Homes","(845) 692-6310","","","","","","https://www.yellowpages.com/middletown-ny/mip/sheric-homes-20724518?lid=20724518","Home Builders, Real Estate Developers","","Middletown, NY 10941","","development","Florida,+NY"
"2792232","Coldwell Banker","(845) 856-4335","","","","","","https://www.yellowpages.com/port-jervis-ny/mip/coldwell-banker-2792232?lid=2792232","Real Estate Buyer Brokers, Real Estate Agents, Real Estate Developers, Real Estate Loans, Commercial Real Estate, Real Estate Consultants","http://www.coldwellbanker.com","Port Jervis, NY 12771","","development","Florida,+NY"
"6989053","Ideal Construction of Orange County","(845) 858-8200","","","","","","https://www.yellowpages.com/port-jervis-ny/mip/ideal-construction-of-orange-county-6989053?lid=6989053","General Contractors, Real Estate Developers, Building Contractors","","Port Jervis, NY 12771","","development","Florida,+NY"
"7695985","Double Tree Builders Corp","(845) 783-2694","","","","","","https://www.yellowpages.com/monroe-ny/mip/double-tree-builders-corp-7695985?lid=7695985","General Contractors, Real Estate Developers","","Monroe, NY 10949","","development","Florida,+NY"
"7724519","Schenk Builders Of Ny Inc","(845) 469-7126","","","","","","https://www.yellowpages.com/chester-ny/mip/schenk-builders-of-ny-inc-7724519?lid=7724519","Building Contractors, Real Estate Developers","","Chester, NY 10918","","development","Florida,+NY"
"541164386","Qualamar Corporation","(845) 294-3833","","","","","","https://www.yellowpages.com/goshen-ny/mip/qualamar-corporation-541164386?lid=541164386","Real Estate Developers","","1 Railroad AveGoshen, NY 10924","","development","Florida,+NY"
"457257999","Heritage North Development","(845) 986-6944","","","","","","https://www.yellowpages.com/warwick-ny/mip/heritage-north-development-457257999?lid=457257999","Real Estate Developers, Home Builders","","12 Oakland AveWarwick, NY 10990","","development","Florida,+NY"
"1105037","Heritage North Development Co","(845) 258-1432","","32","","","","https://www.yellowpages.com/warwick-ny/mip/heritage-north-development-co-1105037?lid=1105037","Real Estate Developers, Real Estate Agents, Real Estate Buyer Brokers","http://deercrossinghomes.com","10 Feagles RdWarwick, NY 10990","","development","Florida,+NY"
"463035463","Hunter Estates Development","(845) 782-0431","","13","","","","https://www.yellowpages.com/chester-ny/mip/hunter-estates-development-463035463?lid=463035463","Real Estate Developers","","12 Lori LnChester, NY 10918","","development","Florida,+NY"
"469429683","Miller Excavtng Bruce Contr","(845) 258-4580","","","","","","https://www.yellowpages.com/warwick-ny/mip/miller-excavtng-bruce-contr-469429683?lid=469429683","Real Estate Developers","","7 Timlow LnWarwick, NY 10990","","development","Florida,+NY"
"463001222","Smith & Smith Development Co","(845) 355-2378","","12","","","","https://www.yellowpages.com/slate-hill-ny/mip/smith-smith-development-co-463001222?lid=463001222","Real Estate Developers","","11 Bergen CirSlate Hill, NY 10973","","development","Florida,+NY"
"16553873","N & L Santopietro","(845) 986-4161","","","","","","https://www.yellowpages.com/warwick-ny/mip/n-l-santopietro-16553873?lid=16553873","General Contractors, Real Estate Developers, Plumbers","","37 Wisner RdWarwick, NY 10990","","development","Florida,+NY"
"459143470","Canevari Construction Inc","(845) 987-2200","","14","","","","https://www.yellowpages.com/warwick-ny/mip/canevari-construction-inc-459143470?lid=459143470","General Contractors, Building Contractors-Commercial & Industrial, Building Contractors, Real Estate Developers, Altering & Remodeling Contractors, Building Construction Consultants","","31 Cherry StWarwick, NY 10990","","development","Florida,+NY"
"6049724","Cmc Construction Group","(845) 355-8600","info@cmc-construction.com","18","","","","https://www.yellowpages.com/slate-hill-ny/mip/cmc-construction-group-6049724?lid=6049724","Home Builders, Altering & Remodeling Contractors, Paving Contractors, Building Construction Consultants, Excavation Contractors, Building Contractors, Building Materials, Real Estate Developers, General Contractors","http://www.cmc-construction.com","3058 Route 6Slate Hill, NY 10973","","development","Florida,+NY"
