"id","business_name","phone","email","years_in_business","services","neighborhoods","general_info","business_page","category","website","address","rating","keyword","place"
"1001009809693","YP Marketing Solutions","(800) 438-7325","","","","","Connecting consumers with businesses when they’re ready to buy is what YP is all about, and we’ve been doing this for over 100 years. YP Marketing Solutions includes online presence, local search, display advertising and direct marketing. We’re backed by thousands of media consultants and customer service professionals in local markets across the U.S. with relationships spanning more than half a million advertisers. 
  
YP, the even-more-powerful Yellow Pages. YP can do that.","https://www.yellowpages.com/nationwide/mip/yp-marketing-solutions-496350396?lid=1001009809693","Advertising Agencies, Internet Marketing & Advertising, Web Site Design & Services, Advertising-Promotional Products, Advertising-Shoppers Publications, Directory & Guide Advertising, Publishers-Directory & Guide, Direct Marketing Services, Coupon Advertising, Mailing Lists, Advertising-Telephone & Fax, Print Advertising, Publishers, Internet Consultants, Web Site Hosting, Interactive Media, Internet Directories, Direct Mail Advertising","http://www.adsolutions.yp.com","","","eCommerce","Florida,+NY"
"1001039190328","Cheep Cheep Postcards - Direct Mail Advertising","(888) 222-4337","sales@cheepcheepwebsites.com","29","","","Cheep Cheep Postcards™, Cheep Cheep Websites, a division of Hunter-McMain, Inc. offers a full range of print and online media services, with affordable pricing to meet any budget. ""Created expressly for those with high standards and low budgets""™","https://www.yellowpages.com/nationwide/mip/cheep-cheep-postcards-direct-mail-advertising-10183870?lid=1001039190328","Internet Marketing & Advertising, Web Site Hosting, Advertising Agencies, Direct Mail Advertising, Graphic Designers, Printing Services, Web Site Design & Services, Post Cards-Wholesale & Manufacturers","http://www.cheep-cheep.com/index.html","Serving the Florida Area","2","eCommerce","Florida,+NY"
"515140785","Hudson Valley Digital Marketing","(845) 325-2465","info@hudsonvalleydigitalmarketing.com","8","Search Engine Optimization (SEO)Online Product MarketingWeb DesignSearch Engine MarketingContent WritingVideo ProductionInternet AdvertisingSocial Media MarketingPay Per Click AdvertisingSmall Business MarketingEmail Marketing","","","https://www.yellowpages.com/middletown-ny/mip/hudson-valley-digital-marketing-515140785?lid=515140785","Web Site Design & Services, Internet Marketing & Advertising, Web Site Hosting","https://hudsonvalleydigitalmarketing.com","Middletown, NY 10940","1","eCommerce","Florida,+NY"
"531373123","JTJ Data Service","(845) 258-8623","","","","","","https://www.yellowpages.com/chester-ny/mip/jtj-data-service-531373123?lid=531373123","Computer Data Recovery, Web Site Hosting, Web Site Design & Services","http://www.jtjdataservice.com","1108 Kings HwyChester, NY 10918","","eCommerce","Florida,+NY"
"456715144","Focus Media","(845) 294-3342","","16","","","","https://www.yellowpages.com/goshen-ny/mip/focus-media-456715144?lid=456715144","Web Site Design & Services, Computer System Designers & Consultants","http://www.focusmediausa.com","10 Matthews St Fl 1Goshen, NY 10924","","eCommerce","Florida,+NY"
"503757626","MAWebcenters","(845) 820-8516","","","","","","https://www.yellowpages.com/goshen-ny/mip/mawebcenters-503757626?lid=503757626","Web Site Design & Services","","18 Kelsey LnGoshen, NY 10924","","eCommerce","Florida,+NY"
"454837402","Parse3","(845) 988-5002","spark@ironorchard.com","21","","","","https://www.yellowpages.com/warwick-ny/mip/parse3-454837402?lid=454837402","Web Site Design & Services","http://www.parse3.com","13 First StWarwick, NY 10990","","eCommerce","Florida,+NY"
"458742674","Nexus Media Inc","(845) 988-5002","spark@ironorchard.com","17","","","","https://www.yellowpages.com/warwick-ny/mip/nexus-media-inc-458742674?lid=458742674","Web Site Design & Services, Computer Software Publishers & Developers","http://www.nexusmediagroup.com","13 First StWarwick, NY 10990","","eCommerce","Florida,+NY"
"483199249","Miranda's Marketing","(845) 699-5779","info@mirandasmarketing.com","8","","","","https://www.yellowpages.com/middletown-ny/mip/mirandas-marketing-483199249?lid=483199249","Web Site Design & Services, Magazines, Marketing Programs & Services, Advertising Agencies, Marketing Consultants","","280 Route 211 EMiddletown, NY 10940","","eCommerce","Florida,+NY"
"526545432","Web Garden Consulting, LLC","(206) 491-7323","","7","","","","https://www.yellowpages.com/greenwood-lake-ny/mip/web-garden-consulting-llc-526545432?lid=526545432","Web Site Hosting, Computer Graphics, System Integration Engineers, Graphic Designers, Web Site Design & Services","","7 Rocky TrlGreenwood Lake, NY 10925","","eCommerce","Florida,+NY"
