"id","business_name","phone","email","years_in_business","services","neighborhoods","general_info","business_page","category","website","address","rating","keyword","place"
"538462585","M&V Digital Agency","(310) 421-1820","","","","Central Hollywood, Central LA","","https://www.yellowpages.com/los-angeles-ca/mip/m-v-digital-agency-538462585?lid=538462585","Digital Printing & Imaging","https://www.mvagency.co","6600 Sunset Blvd. Suite 217Los Angeles, CA 90028","","digital+agency","Los+Angeles,+CA"
"533932424","KRSP A Digital Agency","(213) 537-2063","","","","","","https://www.yellowpages.com/los-angeles-ca/mip/krsp-a-digital-agency-533932424?lid=533932424","Internet Products & Services, Web Site Design & Services","http://krsp.co","3420 S Sepulveda BlvdLos Angeles, CA 90034","","digital+agency","Los+Angeles,+CA"
"17175759","Digital Agency Group","(323) 651-3943","","","","Mar Vista, West Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/digital-agency-group-17175759?lid=17175759","Internet Service Providers (ISP)","","11965 Venice BlvdLos Angeles, CA 90066","","digital+agency","Los+Angeles,+CA"
"529467701","Beattie Cole Digital Marketing Agency","(213) 935-8532","hello@beattiecole.com","","","East LA, Greater Echo Park Elysian","We are Beattie cole, a digital marketing agency based in LOS Angeles. We partner with businesses in order to optimize success. Some MAY refer to US AS a digital marketers. But we like to think of ourselves AS a digital optimizers. We provide hand crafted digital marketing solutions custom tailored with your goals in mind.","https://www.yellowpages.com/los-angeles-ca/mip/beattie-cole-digital-marketing-agency-529467701?lid=529467701","Advertising Agencies, Graphic Designers, Marketing Consultants, Marketing Programs & Services","http://www.beattiecole.com","1428 Echo Park AveLos Angeles, CA 90026","","digital+agency","Los+Angeles,+CA"
"468877972","Digital Artist's Agency","(310) 788-3918","","7","","Westside, Century City, West Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/digital-artists-agency-468877972?lid=468877972","Talent Agencies","http://d-a-a.com","2131 Century Park Ln Apt 313Los Angeles, CA 90067","","digital+agency","Los+Angeles,+CA"
"4121182","Digital Artists Agency","(310) 279-5055","bcoleman@d-a-a.com","15","","Culver-West, West Los Angeles","","https://www.yellowpages.com/los-angeles-ca/mip/digital-artists-agency-4121182?lid=4121182","Art Galleries, Dealers & Consultants","http://www.d-a-a.com","13323 W Washington BlvdLos Angeles, CA 90066","","digital+agency","Los+Angeles,+CA"
"504217224","121 - Digital Production Agency","(646) 717-1726","info@one20one.com","7","","","","https://www.yellowpages.com/los-angeles-ca/mip/121-digital-production-agency-504217224?lid=504217224","Web Site Design & Services","http://one20one.com","Los Angeles, CA 90046","","digital+agency","Los+Angeles,+CA"
"489247139","Flash Digital Agency","(323) 451-2677","","9","","Central LA, PICO, Wilshire Highlands","We are passionate about digital marketing.  Here at Flash Digital Agency we are a team of experienced and passionate digital marketers that are dedicated to helping our clients find solutions an increase their digital presence.  With Flash Digital Agency you get the custom tailored attention of a boutique agency coupled with the expertise and advance tools and technologies of one of the big guys.  We are data driven and believe in full transparency in reporting and management of your digital marketing.  We work with a broad range of clients from startups, mobile apps, national brands, regional chains, e Commerce, consultants, and more!","https://www.yellowpages.com/beverly-hills-ca/mip/flash-digital-agency-489247139?lid=489247139","Internet Marketing & Advertising, Web Site Design & Services","","8549 Wilshire Blvd suite 426Beverly Hills, CA 90211","2","digital+agency","Los+Angeles,+CA"
"15327758","Signcomm","(213) 383-2111","signcom2000@yahoo.com","27","","Central LA, Rampart Village","20+ years of experience with a 10,000 square foot facility, we can make what you want at the lowest prices! Signcomm has worked with large corporations like T-Mobile, Chase, Burger King and smaller mom and pop locations.","https://www.yellowpages.com/los-angeles-ca/mip/signcomm-15327758?lid=15327758","Signs-Erectors & Hangers, Advertising Agencies, Signs, Advertising Specialties, Printing Services, Digital Printing & Imaging, Banners, Flags & Pennants","","3214 Beverly BlvdLos Angeles, CA 90057","6","digital+agency","Los+Angeles,+CA"
"11408226","Advetising Image Group","(213) 382-1123","create@imagegroupcorp.com","16","","Wilshire Center - Koreatown, Central LA","Marketing, Design, Consultation, Strategy","https://www.yellowpages.com/los-angeles-ca/mip/advetising-image-group-11408226?lid=11408226","Engraving, Advertising Agencies, Screen Printing, Printing Services, Digital Printing & Imaging","http://www.imagegroupcorp.com","3921 Wilshire BlvdLos Angeles, CA 90010","","digital+agency","Los+Angeles,+CA"
"544948397","Amplitude Digital Inc","(213) 973-2002","hello@amplitudeagency.com","14","Search Engine Optimization (SEO), Google AdWords PPC Management, Bing &amp; Yahoo Ads PPC Management, Web Analytics, Content Marketing","","Amplitude Digital, a leading SEO and PPC search marketing agency in Los Angeles, delivers results using data-centric strategies that reduce wasteful media spend and grow revenue. We are a recipient of the Los Angeles Agency Award of Excellence, recognizing our efforts in Search Engine Optimization, Paid Search, Google Shopping Ads, Remarketing and Content Marketing. Clients depend on our veteran search experts, deep analytic methodology and real-time dashboards to keep ahead of the competition.","https://www.yellowpages.com/los-angeles-ca/mip/amplitude-digital-inc-544948397?lid=544948397","Internet Marketing & Advertising, Advertising Agencies","http://amplitudeagency.com","5792 W Jefferson Blvd #2149Los Angeles, CA 90016","","digital+agency","Los+Angeles,+CA"
"491089638","Amplitude Digital Inc","(213) 973-2002","hello@amplitudeagency.com","14","","","Amplitude Digital, a leading SEO and PPC search marketing agency in Los Angeles, delivers results using data-centric strategies that reduce wasteful media spend and grow revenue. We are a recipient of the Los Angeles Agency Award of Excellence, recognizing our efforts in Search Engine Optimization, Paid Search, Google Shopping Ads, Remarketing and Content Marketing. Clients depend on our veteran search experts, deep analytic methodology and real-time dashboards to keep ahead of the competition.","https://www.yellowpages.com/los-angeles-ca/mip/amplitude-digital-inc-491089638?lid=491089638","Internet Marketing & Advertising, Advertising Agencies","http://amplitudeagency.com","3415 S Sepulveda Blvd Ste 1157, 11th FloorLos Angeles, CA 90034","","digital+agency","Los+Angeles,+CA"
"533432367","Chambers Digital Media","(323) 452-2711","","","","","","https://www.yellowpages.com/los-angeles-ca/mip/chambers-digital-media-533432367?lid=533432367","Advertising Agencies","http://empoweredmediapr.com","1615 Wilcox AveLos Angeles, CA 90078","","digital+agency","Los+Angeles,+CA"
"533624513","Smart Vizio Los Angeles SEO and Digital Marketing Agency","(818) 914-8483","","","","","","https://www.yellowpages.com/woodland-hills-ca/mip/smart-vizio-los-angeles-seo-and-digital-marketing-agency-533624513?lid=533624513","Marketing Programs & Services, Advertising Agencies","http://www.smartvizio.com/los-angeles-seo","6110 Nevada Ave Apt 213Woodland Hills, CA 91367","","digital+agency","Los+Angeles,+CA"
"533822813","Bright Age Digital Creative Agency","(818) 887-0999","adam@brightage.com","5","","South Valley, Woodland Hills-Warner Center","","https://www.yellowpages.com/woodland-hills-ca/mip/bright-age-digital-creative-agency-533822813?lid=533822813","Marketing Programs & Services","http://brightage.com","22220 Gilmore StWoodland Hills, CA 91303","","digital+agency","Los+Angeles,+CA"
"541697907","Fullmoon Digital Agency","(805) 285-2144","","","","","","https://www.yellowpages.com/simi-valley-ca/mip/fullmoon-digital-agency-541697907?lid=541697907","Internet Marketing & Advertising, Marketing Consultants, Advertising Agencies","http://fullmoondigital.com","1518 River Wood CtSimi Valley, CA 93063","","digital+agency","Los+Angeles,+CA"
"533332950","Digital Develop","(415) 800-3742","ome199520@gmail.com","","","","Digital Develop is a creative branding, marketing and digital agency who helps businesses with conversion driven solutions.","https://www.yellowpages.com/beverly-hills-ca/mip/digital-develop-533332950?lid=533332950","Advertising Agencies","http://www.digitaldevelop.net","9350 Wilshire BlvdBeverly Hills, CA 90212","","digital+agency","Los+Angeles,+CA"
"463631191","G 2 Direct & Digital","(818) 531-0700","","11","","Media Center, Burbank","","https://www.yellowpages.com/burbank-ca/mip/g-2-direct-digital-463631191?lid=463631191","Advertising Agencies","http://g2.com","3500 W Olive Ave Ste 700Burbank, CA 91505","","digital+agency","Los+Angeles,+CA"
"455516343","Digital Artist Management","(310) 414-6800","","18","","El Segundo","Digital Artist Management offers placement solutions for development teams, executives, programmers, artists, designers and producers with expertise in video game and interactive content development solutions. In operation for more than five years, the company maintains offices in Los Angeles and Walnut Creek in California. It serves publishers and games-related technology companies. Digital Artist Management provides career placement services for full-time and contract professionals. The company also offers on-site staffing and outplacement solutions. Its clients include BioWare, Naughty Dog, Insomniac Games and Sony Online Entertainment. Digital Artist Management is a founding member of the Professional Electronic Entertainment Recruiters Network. The company s Production Road is a full-service studio.","https://www.yellowpages.com/el-segundo-ca/mip/digital-artist-management-455516343?lid=455516343","Management Consultants, Employment Agencies","http://digitalartistmanagement.com","898 N Sepulveda BlvdEl Segundo, CA 90245","","digital+agency","Los+Angeles,+CA"
"547522505","Jive Pr + Digital","(310) 753-7968","","","","Manhattan Village","Creating a product or brand is a large step for any company. Marketing that product or managing that brand, is the hardest part. At Jive PR + Digital, we tell stories. We are an award-winning public relations firm and social media marketing agency that specializes in shaping stories and igniting conversations. Whether you need custom communication with public relations, or you need to elevate your brand with social media marketing, we want to tell you story. Contact us today for a consultation!","https://www.yellowpages.com/manhattan-beach-ca/mip/jive-pr-digital-547522505?lid=547522505","Advertising Agencies","http://www.jiveprdigital.com","1240 Rosecrans AveManhattan Beach, CA 90266","","digital+agency","Los+Angeles,+CA"
"503314682","Apex Digital Media","(310) 894-1218","info@apexdigitalmedia.com","","","","Los Angeles web design, advertising, and social media company.","https://www.yellowpages.com/van-nuys-ca/mip/apex-digital-media-503314682?lid=503314682","Internet Marketing & Advertising, Advertising Agencies, Graphic Designers, Video Production Services, Web Site Design & Services","http://www.apexdigitalmedia.com","14737 Oxnard StVan Nuys, CA 91411","","digital+agency","Los+Angeles,+CA"
"463584154","Orbit Digital Marketing","(818) 396-7248","","","","Central LA, Hollywood Hills West, Universal City","","https://www.yellowpages.com/universal-city-ca/mip/orbit-digital-marketing-463584154?lid=463584154","Advertising Agencies, Video Production Services, Advertising Specialties","","10 Universal City PlzUniversal City, CA 91608","","digital+agency","Los+Angeles,+CA"
"505407471","Gotunionprinting.com","(818) 282-2698","Demetrius@harmanpress.com","75","","","","https://www.yellowpages.com/north-hollywood-ca/mip/gotunionprinting-com-505407471?lid=505407471","Print Advertising, Marking & Coding Equipment, Product Design, Development & Marketing, Advertising Agencies, Digital Printing & Imaging","http://aandi.com","6840 Vineland AveNorth hollywood, CA 91605","","digital+agency","Los+Angeles,+CA"
"536696331","Atgames Digital Media Inc","(310) 286-2222","","17","","El Segundo","","https://www.yellowpages.com/el-segundo-ca/mip/atgames-digital-media-inc-536696331?lid=536696331","Advertising Agencies","http://atgamescloud.net","258 Kansas StEl Segundo, CA 90245","","digital+agency","Los+Angeles,+CA"
"467690337","Wide Group Digital Motion","(818) 344-9703","info@widegroup.net","","","West Los Angeles, Pico","","https://www.yellowpages.com/santa-monica-ca/mip/wide-group-digital-motion-467690337?lid=467690337","Advertising Agencies, Advertising Specialties","http://widegroup.net","1620 26th St Ste 300Santa Monica, CA 90404","","digital+agency","Los+Angeles,+CA"
"474676728","Prehistoric Digital","(310) 828-6120","","","","West Los Angeles, Mid-City","","https://www.yellowpages.com/santa-monica-ca/mip/prehistoric-digital-474676728?lid=474676728","Computer Graphics, Advertising Agencies, Computer Software & Services, Video Production Services, Computer Software Publishers & Developers","http://www.prehistoricdigital.com","2043 Colorado AveSanta Monica, CA 90404","","digital+agency","Los+Angeles,+CA"
"485050274","Pemberley Digital","(323) 459-4660","","","","Pico, West Los Angeles","","https://www.yellowpages.com/santa-monica-ca/mip/pemberley-digital-485050274?lid=485050274","Advertising Agencies","http://collinsncollins.com","1728 Olympic BlvdSanta Monica, CA 90404","","digital+agency","Los+Angeles,+CA"
"5127205","Digital Playground Inc","(818) 376-8488","ali@digitalplayground.com","","","South Valley, Lake Balboa","","https://www.yellowpages.com/van-nuys-ca/mip/digital-playground-inc-5127205?lid=5127205","Family & Business Entertainers, Entertainment Agencies & Bureaus","http://www.digitalplayground.com","16134 Hart StVan Nuys, CA 91406","","digital+agency","Los+Angeles,+CA"
"18111089","Mark Blu Digital Media","(310) 320-6277","","16","","Torrance","","https://www.yellowpages.com/torrance-ca/mip/mark-blu-digital-media-18111089?lid=18111089","Internet Marketing & Advertising, Advertising Agencies","http://markbludigital.com","20515 Gramercy PlTorrance, CA 90501","1","digital+agency","Los+Angeles,+CA"
