"id","business_name","phone","email","years_in_business","services","neighborhoods","general_info","business_page","category","website","address","rating","keyword","place"
"12424811","Harris & Schroeder Builders","(305) 247-6156","harriscontractor@aol.com","58","","","In 1960 Harris & Schroeder Builders, Inc. was formed as a partnership between H. Roland Harris & Glenn Schroeder.  Harris & Schroeder Builders, Inc. was incorporated on January 28, 1980.  Glenn Schroeder retired in 1992 and H. Roland Harris retired in 1997.  James M. Harris, a third generation builder has worked with his father most of his life and had been an equal partner since 1987 and a sole owner since 1998.  James M. Harris has been a Qualifier and State Licensed Building Contractor for Harris & Schroeder Builders since 1980.  For more that 50 years, Harris & Schroeder Builders, Inc. has helped owners navigate the issues and enjoy the process of building.  We not only deliver superior construction quality, but we put our clients first with ideas to save money, time and hassle.","https://www.yellowpages.com/homestead-fl/mip/harris-schroeder-builders-12424811?lid=12424811","Home Improvements, Real Estate Developers, Carpenters, Home Builders, Building Contractors, General Contractors","","404 W Mowry DrHomestead, FL 33030","","development","Florida+City,+FL"
"451716739","Parsons Brincker Hoss Construction Services Inc","(305) 247-8101","","9","","","","https://www.yellowpages.com/homestead-fl/mip/parsons-brincker-hoss-construction-services-inc-451716739?lid=451716739","Real Estate Developers","","11 SE 1st AveHomestead, FL 33034","","development","Florida+City,+FL"
"526657555","Rfj Construction Services","(786) 610-0919","","","","","","https://www.yellowpages.com/florida-city-fl/mip/rfj-construction-services-526657555?lid=526657555","General Contractors, Real Estate Developers","","201 SW 2nd AveFlorida City, FL 33034","","development","Florida+City,+FL"
"503707011","Shoreline Builders","(305) 245-8455","","12","","","","https://www.yellowpages.com/florida-city-fl/mip/shoreline-builders-503707011?lid=503707011","General Contractors, Real Estate Developers, Altering & Remodeling Contractors, Building Contractors","","955 NW 3rd Ave Ste 8Florida City, FL 33034","","development","Florida+City,+FL"
"532387852","Ledezma Builders Inc","(786) 504-3142","","","","","","https://www.yellowpages.com/homestead-fl/mip/ledezma-builders-inc-532387852?lid=532387852","General Contractors, Altering & Remodeling Contractors, Building Construction Consultants, Building Contractors, Real Estate Developers","","123 N Krome AveHomestead, FL 33030","","development","Florida+City,+FL"
"473558903","K&J General Contracting","(305) 247-1695","","","","","","https://www.yellowpages.com/homestead-fl/mip/k-j-general-contracting-473558903?lid=473558903","General Contractors, Real Estate Developers","","1730 N Anhinga LnHomestead, FL 33035","","development","Florida+City,+FL"
"503915006","Land Baron Clubhouse","(305) 230-0300","","","","","","https://www.yellowpages.com/homestead-fl/mip/land-baron-clubhouse-503915006?lid=503915006","Real Estate Developers","","2300 SE Palm DrHomestead, FL 33035","","development","Florida+City,+FL"
"8839496","Zamora Corporation","(786) 243-0923","","13","","","","https://www.yellowpages.com/homestead-fl/mip/zamora-corporation-8839496?lid=8839496","Real Estate Developers","http://dzamora.com","20401 SW 317th StHomestead, FL 33030","","development","Florida+City,+FL"
"9286593","Prime Home Builders","(305) 246-5621","","","","","","https://www.yellowpages.com/homestead-fl/mip/prime-home-builders-9286593?lid=9286593","Real Estate Developers","","Homestead, FL 33030","","development","Florida+City,+FL"
"22227433","Tgt Contractors Inc","(305) 242-9930","","10","","","","https://www.yellowpages.com/homestead-fl/mip/tgt-contractors-inc-22227433?lid=22227433","General Contractors, Real Estate Developers, Plumbers","","19345 SW 312th StHomestead, FL 33030","","development","Florida+City,+FL"
