"id","business_name","phone","email","years_in_business","services","neighborhoods","general_info","business_page","category","website","address","rating","keyword","place"
"1000462803469","U.S. Cellular","(800) 331-8923","","35","","","U.S. Cellular is the fifth-largest full-service wireless carrier in the United States, providing national network coverage and industry-leading innovations designed to elevate the customer experience. The Chicago-based carrier has a strong line-up of cutting-edge devices that are all backed by a high-quality network in big and small cities and rural communities. Currently, 94 percent of customers have access to 4G LTE speeds. U.S. Cellular was named a J.D. Power and Associates Customer Champion in 2014 for the third time in four years.","https://www.yellowpages.com/nationwide/mip/u-s-cellular-11421706?lid=1000462803469","Cellular Telephone Service, Wireless Communication, Cellular Telephone Equipment & Supplies, Telephone Equipment & Systems, Telephone Companies, Consumer Electronics","https://www.uscellular.com","","42","telecom","Washington,+DC"
"1001808023993","InScope Communications, LLC","(888) 223-8968","","","","","InScope Communications is a preferred dealer of the world's most reputable telecommunications equipment. We are a Nationwide Supplier of telephone systems, wi-fi equipment, networking supplies, and wireless headsets. We will supply your office and multiple locations with the latest and greatest telecom products available. We carry all the top brands and offer expedited shipping. Our nationwide network of contractors are on standby to assist with any and all of your telecom needs. Ask us how we can save you money through our Hosted VoIP Solutions with AVAYA! Give us a call today. We make it easy to do business with InScope!","https://www.yellowpages.com/nationwide/mip/inscope-communications-llc-533624097?lid=1001808023993","Telephone Equipment & Systems-Repair & Service, Telephone & Television Cable Contractors, Computers & Computer Equipment-Service & Repair, Computer Cable & Wire Installation, Telephone Communications Services, Telecommunications-Equipment & Supply, Telecommunications Services, Access Control Systems, Telecommunications Consultants, Data Communications Equipment & Systems, Telephone Equipment & Systems, Network Communications, Point Of Sale Equipment & Supplies, Surveillance Equipment","http://www.inscopecom.com","Serving the Washington Area","","telecom","Washington,+DC"
"15830819","I-Linx","(202) 232-0621","","","","Northwest Washington, Downtown-Penn Quarter-Chinatown","","https://www.yellowpages.com/washington-dc/mip/i-linx-15830819?lid=15830819","Telecommunications Consultants, Telephone Companies","","1090 Vermont Ave NWWashington, DC 20005","","telecom","Washington,+DC"
"10227300","Communications Network Architects","(202) 775-8000","","45","","Northwest Washington, Foggy Bottom, Foggy Bottom - GWU - West End","","https://www.yellowpages.com/washington-dc/mip/communications-network-architects-10227300?lid=10227300","Telecommunications Consultants, Telecommunications Services, Telephone Companies","","2440 Virginia Ave NW Apt D309Washington, DC 20037","","telecom","Washington,+DC"
"510952851","Nlrb Telecommunications","(202) 479-0022","","","","SW Ballpark - Navy Yard, Southeast Washington","","https://www.yellowpages.com/washington-dc/mip/nlrb-telecommunications-510952851?lid=510952851","Telecommunications Consultants, Telecommunications Services, Telephone Companies","","1015 Half St SEWashington, DC 20003","","telecom","Washington,+DC"
"8471832","Mfsicc","(202) 563-8508","","34","Satellite Equipment & Systems","Southwest Washington","","https://www.yellowpages.com/washington-dc/mip/mfsicc-8471832?lid=8471832","Telephone Companies, Telecommunications Consultants, Telecommunications Services","http://www.firstgov.gov","4555 Overlook Ave SWWashington, DC 20375","","telecom","Washington,+DC"
"23593694","Tcg","(202) 986-5533","daniel.turner@tcg.com","34","","Downtown-Penn Quarter-Chinatown, Northwest Washington","","https://www.yellowpages.com/washington-dc/mip/tcg-23593694?lid=23593694","Telecommunications Consultants","","1331 F St NW Ste 925Washington, DC 20004","","telecom","Washington,+DC"
"456748234","BT Americas","(202) 293-5468","","","","Dupont Circle, Northwest Washington, Connecticut Avenue - K Street","","https://www.yellowpages.com/washington-dc/mip/bt-americas-456748234?lid=456748234","Telecommunications Consultants, Telecommunications Services","http://www.btglobalservices.com/business/us/en/index.html","816 Connecticut Ave NWWashington, DC 20006","","telecom","Washington,+DC"
"459170540","Concepts Unlimited","(202) 783-5480","ee@conceptsunlimitedgmac.com","37","","","","https://www.yellowpages.com/washington-dc/mip/concepts-unlimited-459170540?lid=459170540","Telecommunications Consultants","http://www.managementconcepts.com","532 20th St NW Apt 501Washington, DC 20006","","telecom","Washington,+DC"
"461968399","General Communications","(202) 457-8814","","","","Downtown-Penn Quarter-Chinatown, Northwest Washington","","https://www.yellowpages.com/washington-dc/mip/general-communications-461968399?lid=461968399","Telecommunications Consultants, Telecommunications Services","http://www.mci.com","1350 I St NWWashington, DC 20005","","telecom","Washington,+DC"
"461970187","Innovation Network","(202) 728-0727","","25","","Connecticut Avenue - K Street, Dupont Circle, Northwest Washington","","https://www.yellowpages.com/washington-dc/mip/innovation-network-461970187?lid=461970187","Telecommunications Consultants","http://www.innonet.org","1625 K St NWWashington, DC 20006","","telecom","Washington,+DC"
"505055884","L & J Telecommunications","(202) 600-7852","","","","Connecticut Avenue - K Street, Northwest Washington, Dupont Circle","","https://www.yellowpages.com/washington-dc/mip/l-j-telecommunications-505055884?lid=505055884","Telecommunications Consultants, Telecommunications Services","","1629 K St NW Ste 300Washington, DC 20006","","telecom","Washington,+DC"
"12273637","463 Communications","(202) 463-0060","","","","Dupont Circle, Northwest Washington, Connecticut Avenue - K Street","","https://www.yellowpages.com/washington-dc/mip/463-communications-12273637?lid=12273637","Telecommunications Consultants","","1667 K St NW Ste 520Washington, DC 20006","","telecom","Washington,+DC"
"5520218","Telecommunications Resellers Assoc","(202) 842-8006","ccia@ccianet.org","13","","Northwest Washington, Downtown-Penn Quarter-Chinatown","","https://www.yellowpages.com/washington-dc/mip/telecommunications-resellers-assoc-5520218?lid=5520218","Telecommunications Consultants, Telecommunications Services","http://www.ccianet.org","1401 K St NWWashington, DC 20005","","telecom","Washington,+DC"
"18682079","National Telecommunication and Information Admin","(202) 482-1832","","","","","","https://www.yellowpages.com/washington-dc/mip/national-telecommunication-and-information-admin-18682079?lid=18682079","Telecommunications Consultants, Telecommunications Services","","14th Constitution Ave NWWashington, DC 20004","","telecom","Washington,+DC"
"502828314","TM Telcomm","(202) 572-7684","","","","Connecticut Avenue - K Street, Northwest Washington, Dupont Circle","","https://www.yellowpages.com/washington-dc/mip/tm-telcomm-502828314?lid=502828314","Telecommunications Consultants","","1850 K St NWWashington, DC 20006","","telecom","Washington,+DC"
"460176747","Traid Communications","(202) 332-3800","","23","","Dupont Circle, Northwest Washington, Connecticut Avenue - K Street","","https://www.yellowpages.com/washington-dc/mip/traid-communications-460176747?lid=460176747","Telecommunications Consultants","http://www.triad-com.com","1915 I St NW Ste 200Washington, DC 20006","","telecom","Washington,+DC"
"457267792","Core Site","(202) 216-0595","","","","Downtown-Penn Quarter-Chinatown, Northwest Washington","","https://www.yellowpages.com/washington-dc/mip/core-site-457267792?lid=457267792","Telecommunications Consultants","","1275 K St NWWashington, DC 20005","","telecom","Washington,+DC"
"481400942","North Bridge Comm","(202) 507-8303","","","","Connecticut Avenue - K Street, Dupont Circle, Northwest Washington","","https://www.yellowpages.com/washington-dc/mip/north-bridge-comm-481400942?lid=481400942","Telecommunications Consultants","http://northbridgecommunications.com","1828 L St NWWashington, DC 20036","","telecom","Washington,+DC"
"467319658","Media & Communications Strategies","(202) 449-9801","info@hivemindfirm.com","12","","Connecticut Avenue - K Street, Dupont Circle, Northwest Washington","","https://www.yellowpages.com/washington-dc/mip/media-communications-strategies-467319658?lid=467319658","Telecommunications Consultants","http://www.macstrategies.com","1020 19th St NW Ste 200Washington, DC 20036","","telecom","Washington,+DC"
